Classifier,Metaparameters,Word Representation,Preprocessing,F1 Score,Train Time,Test time
KNNClassifier,"{n_neighbors: 7, weights: uniform, p: 1}",MeanEmbeddingMapper,StopWordsPreprocess,0.5324416854765718,0.007003307342529297,0.4802975654602051
KNNClassifier,"{n_neighbors: 7, weights: uniform, p: 2}",MeanEmbeddingMapper,StopWordsPreprocess,0.5167238025015001,0.0075092315673828125,0.0709998607635498
KNNClassifier,"{n_neighbors: 7, weights: distance, p: 1}",MeanEmbeddingMapper,StopWordsPreprocess,0.5258765636930057,0.008007526397705078,0.5679590702056885
KNNClassifier,"{n_neighbors: 7, weights: distance, p: 2}",MeanEmbeddingMapper,StopWordsPreprocess,0.5228799016561947,0.008998870849609375,0.053672075271606445
KNNClassifier,"{n_neighbors: 10, weights: uniform, p: 1}",MeanEmbeddingMapper,StopWordsPreprocess,0.524882037833399,0.007999658584594727,0.4941675662994385
KNNClassifier,"{n_neighbors: 10, weights: uniform, p: 2}",MeanEmbeddingMapper,StopWordsPreprocess,0.5252287242057481,0.00800013542175293,0.06951618194580078
KNNClassifier,"{n_neighbors: 10, weights: distance, p: 1}",MeanEmbeddingMapper,StopWordsPreprocess,0.5256290173028869,0.006999969482421875,0.4703540802001953
KNNClassifier,"{n_neighbors: 10, weights: distance, p: 2}",MeanEmbeddingMapper,StopWordsPreprocess,0.5263144411801982,0.009999990463256836,0.04499959945678711
KNNClassifier,"{n_neighbors: 5, weights: uniform, p: 1}",CountMeanEmbeddingMapper,StopWordsPreprocess,0.5417029987179941,0.007005214691162109,0.5068695545196533
KNNClassifier,"{n_neighbors: 5, weights: uniform, p: 2}",CountMeanEmbeddingMapper,StopWordsPreprocess,0.5276330231271652,0.007999897003173828,0.06952095031738281
KNNClassifier,"{n_neighbors: 5, weights: distance, p: 1}",CountMeanEmbeddingMapper,StopWordsPreprocess,0.5387390594797608,0.007999658584594727,0.4632134437561035
KNNClassifier,"{n_neighbors: 5, weights: distance, p: 2}",CountMeanEmbeddingMapper,StopWordsPreprocess,0.5238414125152181,0.008001565933227539,0.04545474052429199
KNNClassifier,"{n_neighbors: 3, weights: uniform, p: 1}",CountMeanEmbeddingMapper,StopWordsPreprocess,0.5255540463684395,0.00850677490234375,0.49996495246887207
KNNClassifier,"{n_neighbors: 3, weights: uniform, p: 2}",CountMeanEmbeddingMapper,StopWordsPreprocess,0.5166467807423223,0.007999897003173828,0.06900334358215332
KNNClassifier,"{n_neighbors: 3, weights: distance, p: 1}",CountMeanEmbeddingMapper,StopWordsPreprocess,0.5197165041551979,0.007506847381591797,0.4660468101501465
KNNClassifier,"{n_neighbors: 3, weights: distance, p: 2}",CountMeanEmbeddingMapper,StopWordsPreprocess,0.5164382438371309,0.00699925422668457,0.04686236381530762
KNNClassifier,"{n_neighbors: 7, weights: uniform, p: 1}",CountMeanEmbeddingMapper,StopWordsPreprocess,0.5340864234278472,0.007999181747436523,0.4845600128173828
KNNClassifier,"{n_neighbors: 7, weights: uniform, p: 2}",CountMeanEmbeddingMapper,StopWordsPreprocess,0.5411363488608192,0.007998943328857422,0.0665128231048584
KNNClassifier,"{n_neighbors: 7, weights: distance, p: 1}",CountMeanEmbeddingMapper,StopWordsPreprocess,0.5342318513949903,0.007998228073120117,0.4617130756378174
KNNClassifier,"{n_neighbors: 7, weights: distance, p: 2}",CountMeanEmbeddingMapper,StopWordsPreprocess,0.5521301243214075,0.00850224494934082,0.05700063705444336
KNNClassifier,"{n_neighbors: 10, weights: uniform, p: 1}",CountMeanEmbeddingMapper,StopWordsPreprocess,0.5509691071488825,0.007998466491699219,0.4929330348968506
KNNClassifier,"{n_neighbors: 10, weights: uniform, p: 2}",CountMeanEmbeddingMapper,StopWordsPreprocess,0.5429338378149463,0.008002281188964844,0.06851577758789062
KNNClassifier,"{n_neighbors: 10, weights: distance, p: 1}",CountMeanEmbeddingMapper,StopWordsPreprocess,0.547996389287598,0.007999420166015625,0.4705636501312256
KNNClassifier,"{n_neighbors: 10, weights: distance, p: 2}",CountMeanEmbeddingMapper,StopWordsPreprocess,0.5465266496602178,0.009998559951782227,0.04851984977722168
KNNClassifier,"{n_neighbors: 5, weights: uniform, p: 1}",MeanEmbeddingMapper,Tarea1Preprocess,0.5046903086875987,0.0070018768310546875,0.7436370849609375
KNNClassifier,"{n_neighbors: 5, weights: uniform, p: 2}",MeanEmbeddingMapper,Tarea1Preprocess,0.5284714061887975,0.007513761520385742,0.35469508171081543
KNNClassifier,"{n_neighbors: 5, weights: distance, p: 1}",MeanEmbeddingMapper,Tarea1Preprocess,0.5017593235034427,0.0060882568359375,0.6980009078979492
KNNClassifier,"{n_neighbors: 5, weights: distance, p: 2}",MeanEmbeddingMapper,Tarea1Preprocess,0.5202396431859846,0.007004499435424805,0.46607542037963867
KNNClassifier,"{n_neighbors: 3, weights: uniform, p: 1}",MeanEmbeddingMapper,Tarea1Preprocess,0.48330670713848284,0.0070803165435791016,0.6967129707336426
KNNClassifier,"{n_neighbors: 3, weights: uniform, p: 2}",MeanEmbeddingMapper,Tarea1Preprocess,0.48479857939438203,0.007001161575317383,0.2515430450439453
KNNClassifier,"{n_neighbors: 3, weights: distance, p: 1}",MeanEmbeddingMapper,Tarea1Preprocess,0.482267993278976,0.005999088287353516,0.6696617603302002
KNNClassifier,"{n_neighbors: 3, weights: distance, p: 2}",MeanEmbeddingMapper,Tarea1Preprocess,0.48641044172380116,0.009001016616821289,0.23959803581237793
KNNClassifier,"{n_neighbors: 7, weights: uniform, p: 1}",MeanEmbeddingMapper,Tarea1Preprocess,0.5028925569341274,0.006999015808105469,0.732562780380249
KNNClassifier,"{n_neighbors: 7, weights: uniform, p: 2}",MeanEmbeddingMapper,Tarea1Preprocess,0.5165442596026285,0.0069980621337890625,0.2995474338531494
KNNClassifier,"{n_neighbors: 7, weights: distance, p: 1}",MeanEmbeddingMapper,Tarea1Preprocess,0.5095149819347725,0.006983280181884766,0.6920337677001953
KNNClassifier,"{n_neighbors: 7, weights: distance, p: 2}",MeanEmbeddingMapper,Tarea1Preprocess,0.5271983846490013,0.008000373840332031,0.27500033378601074
KNNClassifier,"{n_neighbors: 10, weights: uniform, p: 1}",MeanEmbeddingMapper,Tarea1Preprocess,0.5114355751796086,0.0059931278228759766,0.7198491096496582
KNNClassifier,"{n_neighbors: 10, weights: uniform, p: 2}",MeanEmbeddingMapper,Tarea1Preprocess,0.5436344034809718,0.0060002803802490234,0.28392529487609863
KNNClassifier,"{n_neighbors: 10, weights: distance, p: 1}",MeanEmbeddingMapper,Tarea1Preprocess,0.5126493921060081,0.007000923156738281,0.7067134380340576
KNNClassifier,"{n_neighbors: 10, weights: distance, p: 2}",MeanEmbeddingMapper,Tarea1Preprocess,0.5361549683039551,0.00800180435180664,0.2738034725189209
KNNClassifier,"{n_neighbors: 5, weights: uniform, p: 1}",CountMeanEmbeddingMapper,Tarea1Preprocess,0.5255850622678494,0.009003877639770508,0.507512092590332
KNNClassifier,"{n_neighbors: 5, weights: uniform, p: 2}",CountMeanEmbeddingMapper,Tarea1Preprocess,0.49582668176514383,0.008003950119018555,0.06850743293762207
KNNClassifier,"{n_neighbors: 5, weights: distance, p: 1}",CountMeanEmbeddingMapper,Tarea1Preprocess,0.5248906940856678,0.007999897003173828,0.4713099002838135
KNNClassifier,"{n_neighbors: 5, weights: distance, p: 2}",CountMeanEmbeddingMapper,Tarea1Preprocess,0.4985068068706296,0.008000373840332031,0.044518232345581055
KNNClassifier,"{n_neighbors: 3, weights: uniform, p: 1}",CountMeanEmbeddingMapper,Tarea1Preprocess,0.5229302094178158,0.00800013542175293,0.4770512580871582
KNNClassifier,"{n_neighbors: 3, weights: uniform, p: 2}",CountMeanEmbeddingMapper,Tarea1Preprocess,0.49226894498211243,0.0069997310638427734,0.06400012969970703
KNNClassifier,"{n_neighbors: 3, weights: distance, p: 1}",CountMeanEmbeddingMapper,Tarea1Preprocess,0.5182533575373135,0.008004903793334961,0.47173523902893066
KNNClassifier,"{n_neighbors: 3, weights: distance, p: 2}",CountMeanEmbeddingMapper,Tarea1Preprocess,0.4926182172645366,0.008000850677490234,0.044518232345581055
KNNClassifier,"{n_neighbors: 7, weights: uniform, p: 1}",CountMeanEmbeddingMapper,Tarea1Preprocess,0.5387524034861181,0.007999897003173828,0.48798084259033203
KNNClassifier,"{n_neighbors: 7, weights: uniform, p: 2}",CountMeanEmbeddingMapper,Tarea1Preprocess,0.5088269410850056,0.007999658584594727,0.06752610206604004
KNNClassifier,"{n_neighbors: 7, weights: distance, p: 1}",CountMeanEmbeddingMapper,Tarea1Preprocess,0.5376913657574022,0.00800013542175293,0.4691004753112793
KNNClassifier,"{n_neighbors: 7, weights: distance, p: 2}",CountMeanEmbeddingMapper,Tarea1Preprocess,0.516983249321612,0.0069997310638427734,0.04700040817260742
KNNClassifier,"{n_neighbors: 10, weights: uniform, p: 1}",CountMeanEmbeddingMapper,Tarea1Preprocess,0.5409546229559017,0.007999897003173828,0.48372912406921387
KNNClassifier,"{n_neighbors: 10, weights: uniform, p: 2}",CountMeanEmbeddingMapper,Tarea1Preprocess,0.5303979311337889,0.0069997310638427734,0.06791329383850098
KNNClassifier,"{n_neighbors: 10, weights: distance, p: 1}",CountMeanEmbeddingMapper,Tarea1Preprocess,0.5456581019182134,0.006998777389526367,0.49739646911621094
KNNClassifier,"{n_neighbors: 10, weights: distance, p: 2}",CountMeanEmbeddingMapper,Tarea1Preprocess,0.5353200425547293,0.009002923965454102,0.04551887512207031
